Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
23-27 years,Female,Student,2-4 hours,"['Gaming', 'Studying/Educational purposes']",Always,Sometimes,Always,Sometimes,Very uncomfortable,A little,Never,Average,Average,No,Yes,"['In-person counseling', 'Other (please specify)']",Maybe,"['Connection to professional help', 'Tips for managing digital device usage', 'Immediate emotional support']",Gen Z's mental health can greatly benefit from promote a healthy balance between digital device usage and offline activities and promote mental health through social media provided in educational institutions.
27 years and above,Female,Employed,4-6 hours,"['Gaming', 'Watching videos/Movies', 'Work/Professional tasks']",Rarely,Sometimes,Sometimes,Yes,Somewhat uncomfortable,A lot,Often,Good,Average,Not sure,Yes,"['Self-help resources (books, articles, videos)', 'AI-powered chatbots']",Maybe,['Other (please specify)'],One way to support Gen Z's mental health is by offer anonymous counseling services and increase accessibility to mental health services.
12-17 years,Male,Student,More than 6 hours,['Work/Professional tasks'],Never,No,Rarely,Sometimes,Very uncomfortable,Not at all,Often,Good,Average,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Support groups']",No,"['Other (please specify)', 'Tips for managing digital device usage']","By promote mindfulness and relaxation techniques, we can improve and greater emotional support."
23-27 years,Female,Student,More than 6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Sometimes,Sometimes,Sometimes,Sometimes,Very uncomfortable,Significantly,Rarely,Average,Good,Not sure,No,"['Support groups', 'Online therapy sessions']",Maybe,"['Connection to professional help', 'Daily check-ins/mood tracking', 'Other (please specify)']",counseling and therapy and professional counseling are vital for educational institutions to effectively support Gen Z's mental health.
17-23 years,Male,Employed,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Often,Yes,Often,Yes,Very comfortable,A lot,Never,Poor,Good,Not sure,No,['Online therapy sessions'],Yes,['Immediate emotional support'],Fostering reduce the stigma associated with seeking mental health help and create mental health hotlines can lead to improved access to support.
23-27 years,Female,Student,Less than 2 hours,['Work/Professional tasks'],Often,No,Sometimes,No,Very uncomfortable,Significantly,Rarely,Good,Good,Yes,No,"['Self-help resources (books, articles, videos)']",No,['Daily check-ins/mood tracking'],supportive services and support networks are vital for workplaces to effectively support Gen Z's mental health.
Under 12 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Rarely,No,Neutral,A little,Often,Good,Very Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Maybe,"['Connection to professional help', 'Resources for mental health (articles, videos, etc.)']",Supporting Gen Z's mental health requires reduce the stigma associated with seeking mental health help and encourage physical and recreational activities.
Under 12 years,Female,Student,2-4 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Often,No,Sometimes,No,Somewhat comfortable,A lot,Often,Good,Good,No,No,['Online therapy sessions'],Maybe,"['Daily check-ins/mood tracking', 'Connection to professional help']",create more inclusive and diverse mental health resources can help bridge the gap in mental health support for Gen Z in educational institutions.
Under 12 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Often,No,Never,No,Neutral,Significantly,Always,Very good,Very Good,No,No,"['In-person counseling', 'Support groups']",Maybe,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support', 'Other (please specify)']",Encouraging integrate mental health education into the school curriculum among Gen Z can lead to reduced stigma.
Under 12 years,Non-binary,Student,2-4 hours,['Watching videos/Movies'],Always,No,Never,No,Very uncomfortable,Moderately,Rarely,Good,Very Good,Not sure,No,"['In-person counseling', 'AI-powered chatbots']",Yes,"['Other (please specify)', 'Connection to professional help', 'Daily check-ins/mood tracking']",One way to support Gen Z's mental health is by develop and promote mental health apps and promote mental health through social media.
12-17 years,Male,Student,2-4 hours,['Work/Professional tasks'],Never,No,Sometimes,Yes,Somewhat comfortable,Significantly,Rarely,Poor,Average,Not sure,No,"['Other (please specify)', 'Support groups']",No,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']",Fostering encourage physical activities and hobbies and increase accessibility to mental health services can lead to better coping mechanisms.
23-27 years,Female,Student,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Often,No,Very comfortable,A little,Sometimes,Average,Average,No,Yes,['Support groups'],No,['Other (please specify)'],Encouraging encourage regular mental health check-ups among Gen Z can lead to greater awareness and education.
23-27 years,Male,Student,2-4 hours,"['Work/Professional tasks', 'Watching videos/Movies']",Never,Sometimes,Often,No,Very uncomfortable,Not at all,Often,Good,Good,No,No,"['Other (please specify)', 'AI-powered chatbots']",Yes,"['Immediate emotional support', 'Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)']",One way to support Gen Z's mental health is by increase peer support programs and promote mental health awareness campaigns.
27 years and above,Female,Employed,2-4 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Sometimes,Often,Yes,Somewhat uncomfortable,A little,Never,Poor,Average,No,No,['AI-powered chatbots'],Yes,"['Tips for managing digital device usage', 'Other (please specify)', 'Connection to professional help']",It's important to encourage physical activities and hobbies and encourage physical and recreational activities to promote better mental health outcomes for Gen Z.
27 years and above,Female,Self-employed,4-6 hours,['Studying/Educational purposes'],Rarely,No,Always,Sometimes,Neutral,Significantly,Often,Average,Average,Yes,Yes,['Support groups'],Yes,"['Other (please specify)', 'Connection to professional help', 'Tips for managing digital device usage']",One way to support Gen Z's mental health is by develop and promote mental health apps and promote mental health through social media.
27 years and above,Male,Unemployed,2-4 hours,['Work/Professional tasks'],Often,Yes,Often,No,Very uncomfortable,Significantly,Always,Poor,Good,Yes,Yes,['Other (please specify)'],Maybe,"['Immediate emotional support', 'Connection to professional help', 'Other (please specify)']",implement mental health programs and workshops and develop mental health apps and tools are crucial for enhancing mental health support for Gen Z.
23-27 years,Male,Employed,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Yes,Often,Yes,Somewhat comfortable,A little,Always,Poor,Average,Yes,Yes,"['Self-help resources (books, articles, videos)', 'In-person counseling']",Yes,"['Immediate emotional support', 'Connection to professional help', 'Other (please specify)']",implement mental health programs and workshops can greatly benefit the mental health of Gen Z.
23-27 years,Male,Student,4-6 hours,['Work/Professional tasks'],Rarely,No,Always,No,Neutral,Moderately,Always,Average,Very Poor,Yes,No,"['In-person counseling', 'Support groups']",No,"['Connection to professional help', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",We should increase peer support programs to ensure Gen Z has access to mental health resources.
27 years and above,Male,Employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Sometimes,No,Sometimes,Yes,Somewhat comfortable,A little,Never,Average,Good,Not sure,No,"['Other (please specify)', 'AI-powered chatbots']",Yes,"['Resources for mental health (articles, videos, etc.)']",implement mental health programs and workshops and create supportive community environments are crucial for enhancing mental health support for Gen Z.
23-27 years,Female,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Sometimes,No,Very uncomfortable,Moderately,Sometimes,Good,Good,Not sure,Yes,"['Self-help resources (books, articles, videos)', 'Support groups']",Maybe,"['Daily check-ins/mood tracking', 'Tips for managing digital device usage']","To improve mental health support for Gen Z, promote mindfulness and relaxation techniques in universities."
17-23 years,Male,Self-employed,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Often,Sometimes,Somewhat comfortable,Moderately,Often,Average,Good,Yes,Yes,"['In-person counseling', 'Online therapy sessions']",Yes,"['Other (please specify)', 'Connection to professional help', 'Immediate emotional support']",Providing educational materials and practical guidance can significantly improve mental health for Gen Z.
23-27 years,Female,Student,4-6 hours,['Gaming'],Rarely,No,Sometimes,No,Somewhat uncomfortable,Moderately,Often,Good,Good,Yes,Yes,['In-person counseling'],No,"['Daily check-ins/mood tracking', 'Immediate emotional support']",youth centers should prioritize promote a healthy balance between digital device usage and offline activities and increase accessibility to mental health services for better mental health support.
17-23 years,Non-binary,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Often,Sometimes,Often,No,Neutral,A lot,Never,Average,Good,Yes,No,"['AI-powered chatbots', 'Support groups']",Yes,"['Tips for managing digital device usage', 'Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']","By increase peer support programs, we can promote and improved overall health."
12-17 years,Female,Student,4-6 hours,['Work/Professional tasks'],Sometimes,No,Sometimes,No,Somewhat comfortable,Not at all,Sometimes,Poor,Average,No,Yes,['In-person counseling'],Yes,"['Connection to professional help', 'Immediate emotional support']",Supporting Gen Z's mental health requires promote mindfulness and relaxation techniques and offer mental health training programs.
Under 12 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Never,No,Rarely,Yes,Somewhat comfortable,A lot,Never,Good,Very Good,Yes,Yes,['Other (please specify)'],No,"['Other (please specify)', 'Immediate emotional support', 'Connection to professional help']",Encouraging create more inclusive and diverse mental health resources among Gen Z can lead to better coping mechanisms.
Under 12 years,Male,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Sometimes,No,Neutral,A lot,Sometimes,Average,Good,Yes,Yes,"['AI-powered chatbots', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Tips for managing digital device usage']",We should promote mindfulness and relaxation techniques to ensure Gen Z has access to community support.
17-23 years,Female,Student,More than 6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Often,No,Sometimes,No,Neutral,A lot,Always,Poor,Poor,Yes,No,['Other (please specify)'],Yes,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)', 'Daily check-ins/mood tracking']",It's essential to offer anonymous counseling services for better mental health outcomes in Gen Z.
23-27 years,Female,Student,2-4 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Yes,Sometimes,No,Very uncomfortable,A lot,Often,Good,Average,No,Yes,"['Other (please specify)', 'In-person counseling']",No,"['Connection to professional help', 'Immediate emotional support']",Integrating develop and promote mental health apps into healthcare settings can help in supporting Gen Z's mental health.
